a,b
Z:ATMZ,1
Z:AIAY,2
Z:FCGZ,3
Z:AIRN,1
Z:FPHZ,2
Z:MELZ,3
Z:RYMH,1
Z:SPKZ,2
Z:CENZ,3
Z:EBOZ,1
Z:FBUZ,2
Z:MRPZ,3
Z:POTX,1
Z:VCTZ,2
Z:ZELR,3
Z:ARGP,1
Z:BGRZ,2
Z:CHOR,3
Z:DELE,1
Z:FSFZ,2
Z:FREZ,3
Z:GNEZ,1
Z:GMTZ,2
Z:HNZZ,3
Z:IFTZ,1
Z:KIPZ,2
Z:MAIN,3
Z:METZ,1
Z:PCTZ,2
Z:PFIZ,3
Z:PAYZ,1
Z:REST,2
Z:SKCZ,3
Z:SKTZ,1
Z:SUMG,2
Z:SMLZ,3
Z:THLZ,1
Z:TRML,2
Z:BYE,3
Z:VHPT,1
Z:ABAZ,2
Z:AFCZ,3
Z:AFTZ,1
Z:ALLF,2
Z:AORZ,3
Z:ARVZ,1
8697DR,2
Z:ASBP,3
Z:AUGZ,1
Z:AWFZ,2
Z:BRML,3
Z:NZFZ,1
Z:BLTX,2
Z:BFWZ,3
Z:CAVZ,1
Z:CDIZ,2
Z:RISG,3
Z:CMOZ,1
Z:CVTZ,2
Z:CFGL,3
Z:OMGV,1
Z:MADL,2
Z:ENSZ,3
Z:ERDZ,1
Z:EVOZ,2
Z:FINZ,3
Z:FFWZ,1
Z:SLGZ,2
Z:GFLX,3
Z:GTKZ,1
Z:GEOZ,2
Z:GXHZ,3
Z:HLGZ,1
Z:IKEZ,2
Z:IPLX,3
Z:JWIZ,1
Z:KATH,2
Z:KFLZ,3
Z:LICZ,1
Z:MWEX,2
Z:MLNZ,3
Z:MMHZ,1
Z:MEGL,2
Z:MVNZ,3
Z:MPGZ,1
Z:MCKZ,2
Z:MOAZ,3
Z:MYKL,1
Z:HGDZ,2
Z:NXKZ,3
Z:NZOZ,1
Z:NZRZ,2
Z:NAPZ,3
8697DU,1
Z:NWFZ,2
Z:NZMX,3
Z:NZEX,1
Z:OCAN,2
Z:ONLZ,3
Z:OHEZ,1
Z:PEBZ,2
Z:PGWZ,3
Z:FMGZ,1
Z:PILZ,2
Z:PGCN,3
Z:QEXZ,1
Z:RAKZ,2
Z:RBCZ,3
Z:SANZ,1
Z:SCLZ,2
Z:SCOT,3
Z:SEAZ,1
Z:SEKZ,2
Z:SKOZ,3
Z:SKLZ,1
Z:SLIZ,2
Z:SPYZ,3
Z:SCYZ,1
Z:SKML,2
Z:SDLZ,3
Z:SPNZ,1
Z:SNCZ,2
Z:STUZ,3
Z:DNZZ,1
Z:TURZ,2
Z:TTKZ,3
Z:TEGH,1
Z:TLLZ,2
Z:TLR,3
Z:TWRZ,1
Z:TILZ,2
Z:TRSZ,3
Z:TRUZ,1
Z:TNRZ,2
Z:VILZ,3
Z:VGLA,1
Z:WHSZ,2
Z:WDTZ,3
Z:WTLZ,1
Z:MHJX,2
Z:NTLR,3
Z:NTGR,1
91405W,2
Z:ASBZ,3
Z:ASDZ,1
Z:ASFZ,2
Z:MZYZ,3
Z:ASPZ,1
Z:ASRZ,2
Z:OZYZ,3
Z:EMFZ,1
Z:MCKP,2
Z:MDZZ,3
Z:TNZZ,1
Z:STRV,2
8697D0,3
Z:FNZZ,1
Z:APAZ,2
Z:EUFZ,3
8714DF,1
8714DA,2
8714DD,3
Z:DIVZ,1
8714C8,2
Z:TWFZ,3
Z:USFZ,1
Z:USGZ,2
Z:USVZ,3
Z:USMZ,1
Z:USSZ,2
